gene,GO.term,type
CCNJ,GO:0000307,C
CCNJL,GO:0000307,C
CCNK,GO:0000307,C
CCNL1,GO:0000307,C
CCNL2,GO:0000307,C
CCNO,GO:0000307,C
CCNT1,GO:0000307,C
CCNT2,GO:0000307,C
CDK12,GO:0000307,C
CDK13,GO:0000307,C
CDK1,GO:0000307,C
CDK2,GO:0000307,C
CDK4,GO:0000307,C
CDK6,GO:0000307,C
CDK9,GO:0000307,C
CDKN1A,GO:0000307,C
CKS1B,GO:0000307,C
CKS2,GO:0000307,C
ATG101,GO:0000407,C
ATG13,GO:0000407,C
ATG2A,GO:0000407,C
ATG2B,GO:0000407,C
ATG7,GO:0000407,C
ATG9A,GO:0000407,C
ATG9B,GO:0000407,C
BECN1,GO:0000407,C
BECN2,GO:0000407,C
NBR1,GO:0000407,C
PIK3C3,GO:0000407,C
SQSTM1,GO:0000407,C
STX12,GO:0000407,C
TRAPPC8,GO:0000407,C
ULK1,GO:0000407,C
ULK2,GO:0000407,C
ULK3,GO:0000407,C
VMP1,GO:0000407,C
WIPI1,GO:0000407,C
WIPI2,GO:0000407,C
ZFYVE1,GO:0000407,C
ATG14,GO:0000421,C
ATG16L1,GO:0000421,C
ATG16L2,GO:0000421,C
ATG9A,GO:0000421,C
ATG9B,GO:0000421,C
CALCOCO2,GO:0000421,C
GABARAP,GO:0000421,C
GABARAPL1,GO:0000421,C
GABARAPL2,GO:0000421,C
GABARAPL3,GO:0000421,C
IRGM,GO:0000421,C
MAP1LC3A,GO:0000421,C
MAP1LC3B2,GO:0000421,C
MAP1LC3B,GO:0000421,C
MAP1LC3C,GO:0000421,C
MCOLN3,GO:0000421,C
PRKD1,GO:0000421,C
RAB7A,GO:0000421,C
RPN2,GO:0000421,C
SH3GLB1,GO:0000421,C
SNAP29,GO:0000421,C
STX17,GO:0000421,C
