gene,GO.term,type
HOXA3,GO:0000978,F
HOXA5,GO:0000978,F
HOXA7,GO:0000978,F
HOXA9,GO:0000978,F
HOXB1,GO:0000978,F
HOXB2,GO:0000978,F
HOXB3,GO:0000978,F
HOXB7,GO:0000978,F
HOXC11,GO:0000978,F
HOXD13,GO:0000978,F
HOXD3,GO:0000978,F
HSF1,GO:0000978,F
HSF2,GO:0000978,F
HSF4,GO:0000978,F
HSF5,GO:0000978,F
HSFX1,GO:0000978,F
HSFY1,GO:0000978,F
IFI16,GO:0000978,F
INSM1,GO:0000978,F
IRF1,GO:0000978,F
IRF3,GO:0000978,F
IRF4,GO:0000978,F
IRF7,GO:0000978,F
IRF8,GO:0000978,F
IRF9,GO:0000978,F
ISL1,GO:0000978,F
JDP2,GO:0000978,F
JUNB,GO:0000978,F
JUND,GO:0000978,F
JUN,GO:0000978,F
KCNIP3,GO:0000978,F
KDM2B,GO:0000978,F
KDM6A,GO:0000978,F
KDM6B,GO:0000978,F
KLF10,GO:0000978,F
KLF13,GO:0000978,F
KLF16,GO:0000978,F
KLF1,GO:0000978,F
KLF4,GO:0000978,F
KLF5,GO:0000978,F
KLF6,GO:0000978,F
KLF7,GO:0000978,F
KLF8,GO:0000978,F
LEF1,GO:0000978,F
LHX2,GO:0000978,F
LHX3,GO:0000978,F
LITAF,GO:0000978,F
LRRFIP1,GO:0000978,F
MAFA,GO:0000978,F
MAFB,GO:0000978,F
MAFF,GO:0000978,F
MAFG,GO:0000978,F
MAF,GO:0000978,F
MAFK,GO:0000978,F
MAZ,GO:0000978,F
MBD2,GO:0000978,F
MBD3,GO:0000978,F
MED1,GO:0000978,F
MED8,GO:0000978,F
MEF2A,GO:0000978,F
MEF2B,GO:0000978,F
MEF2C,GO:0000978,F
MEF2D,GO:0000978,F
MEIS1,GO:0000978,F
MEIS2,GO:0000978,F
MEOX1,GO:0000978,F
MEOX2,GO:0000978,F
MESP1,GO:0000978,F
MESP2,GO:0000978,F
MITF,GO:0000978,F
MIXL1,GO:0000978,F
MTA1,GO:0000978,F
MTF1,GO:0000978,F
MUC1,GO:0000978,F
MXD1,GO:0000978,F
MYB,GO:0000978,F
MYBL1,GO:0000978,F
MYBL2,GO:0000978,F
MYC,GO:0000978,F
MYCN,GO:0000978,F
MYEF2,GO:0000978,F
MYF5,GO:0000978,F
MYF6,GO:0000978,F
MYOCD,GO:0000978,F
MYOD1,GO:0000978,F
MYOG,GO:0000978,F
