"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","ATM_DN.V1_UP","P53_DN.V2_UP","RELA_DN.V1_UP","P53_DN.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","SNF5_DN.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_UP","BRCA1_DN.V1_UP","CTIP_DN.V1_UP","PKCA_DN.V1_UP","MTOR_UP.N4.V1_UP","PTEN_DN.V2_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_UP","MEL18_DN.V1_UP","PTEN_DN.V1_UP","NOTCH_DN.V1_UP","EIF4E_UP","CRX_DN.V1_UP","CRX_NRL_DN.V1_UP","NRL_DN.V1_UP","RB_DN.V1_UP","RB_P107_DN.V1_UP","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
,"GPN2","CCL22","VEGFB","MT4","NPAS1","GML",,,"ST3GAL4","CCIN","SLC16A1","FKBP1A","PFDN2","HOXB9","IFIT1","LTBP1","MTMR11",,,"DBNDD1","FGR","VAMP1","ADAM18","ME3","KLF10","GRIK2",,"CCP110","TFB2M","APOA5","FAM65B","GLRX","CGRRF1","ETV5","PEG10","SRY","PCBD1","KYNU","LCP1","FAM65B","SGCA","KLRC4","FBLN1","CNIH4","GPR183","IL23A","C6orf105","MYO6","NRL","PRICKLE1","LOC650610","NPPB","FOXP3","TAP1","EMID2","RPS6KA4","FAM117A","RNF123","RNF123","STYX","MCM7","PML","CCNB2","GRHL1","BST2","STXBP1","DCT","IFI16","FAM57A","SLC29A2","LOC644963","NOS2","BICD2","STC1",,,"FZD2",,"IL18R1","IL1R2","IRF9","ICAM1","ST3GAL6","RAC2","OPN3",,"ACOT11",,"BHLHB9","NAP1L2",,"NAP1L2","SLC25A31","CASS4","ESRRG","CD48","SLC25A31","FEZ1","ZFPM2"
,"GATA6","PGM3","MSX2","RIMKLB","MRPL18","DAGLA",,,"MAN2A2","PAX2","MOB1B","TPM2","HIST1H4I","PAK1","HSD17B13","NECAP1","FBP2",,,"PRSS16","HOXD11","REG1B","CPA3","CLCF1","RNF39","SYNJ2",,"UGT8","SLC29A4","LELP1","NCAPG2","WDR24","CYFIP2","TIMP2","LAIR2","ACTL8","CHST11","TUBA4A","ANXA2P3","HSPA12A","KLHL35","ROM1","PASK","FKBP11","ST3GAL4","SHCBP1L","CEACAM21","HMGA2","LEF1","CYBA","PROL1","PAGE1","PLXNA2","ERO1L","NAP1L3","CTF1",,"CKMT1A","SLC16A3","CDK5R2","PCDH10","BLVRB","QTRT1",,,,,"LPXN","IL1A","ASPA","KIF21B","KIFAP3","NDUFS1","EDN1",,,"FRAT1",,"ERVH48-1","ARL4C","HIST1H4H","IFI16","LOC651803","LGALS3BP","EXTL2",,"ENTPD6",,"LOC440895","ANPEP",,"ANPEP","NELL2","CEACAM1","DUSP6","EVI2A","NELL2","MEGF8","KCNJ12"
,"AURKB","SLC4A7","PTPRU","NUP107","POLRMT","FABP7",,,"PHF20","GCHFR","KIAA0020","C19orf48","SPINK4","MICU1","C4orf49","SYNE2","CLIP2",,,"USP9Y","TCIRG1","MTF1","OCM","CA3","NLK","CLTCL1",,"CHST1","CAMKMT","MBD3L1","ADI1","CHAF1A","TNS3","RAI14","MPZL2","NUPL1","ORAI3","PRSS3","GAD2","MDM2","CLEC7A","KCNC4","TTI1","COQ2","PQLC3","GRM5","PCTP","GRINA","GPRC5B","SAMD8","STMN2","TRIB3","CTNS","PYGB","CD27","LOC651803",,"SH3YL1","ZDHHC12","SAP30","C17orf79","RHEBL1","ORC1",,,,,"CTSG","HOXC8","SPHK1","CYP27A1","TAF1B","JOSD1","PRG2",,,"HPSE",,"RANGRF","CXCL6","N4BP2L2-IT1","ZCCHC14","PRKG2","BMPR2","PIP4K2C",,"ADRA1A",,"OR51E2","MMP1",,"MMP1","SLCO5A1","SPRY2","RAPGEF4","SLC6A4","SLCO5A1","PLLP","DNAJC6"
,"ADA","KRT7","SEPT10","CYP2C8","CCR2","BAI2",,,"DYRK4","GUCA2B","ELK3","TCEB1","VANGL2","SGSM3","ADORA2B","NAP1L3","FEV",,,"PNLIP","PCDHA9","STRN4","DLX6","RFPL2","APBA2","KLK10",,"RTN4R","ALG3","MED10","CD53","HAX1","ORAI3","CAPN5","LAMC1","PLEKHF1","RFPL2","EPHB2","OR7A10","GCH1","MTMR8","GEMIN7","PROP1","TFPT","RND1","ZNF91","FSCN3","DSP","CBWD1","PRSS8","IGLL1","IL1A","TRIO","MICA","HS3ST3B1","TLX1",,"NAT1","SLC29A2","NGDN","DCT","MCM5","H2AFB1",,,,,"SLAMF8","REEP2","LRRC6","ECM1","IFNA13","THOC2","CD163",,,"BZRAP1",,"CHPT1","LOC643424","TLR6","DUSP8","HSF1","CUX2","DNAJC17",,"HRG",,"CCND1","FNDC8",,"FNDC8","TRAF1","CEACAM3","FZD3","MYH2","TRAF1","ANKRD34C","LPL"
,"RBM15","IFIT3","CAPN5","OXSM","CDCA7","SNCG",,,"RAB31","MED12","C8orf76","MAPRE1","JUNB","SEC14L2","DFNA5","PPID","KCNMB1",,,"PSTPIP1","DTL","RAD9A","PPL","C4BPA","BPNT1","CA6",,"ARRDC2","SORD","FNDC8","USP15","AAAS","POLE2","AKR1C2","L1CAM","S100P","GATA1","ST6GAL1","CBL","AGRP","CDX1","NANOG","MUSK","ISOC2","WT1-AS","KLRB1","FGFRL1","RAB33B","SLC29A4","SEPP1","BMPR1B","MARCH3","SLC1A5","ABLIM3","CD1E","PRKG1",,"OSGEP","NXNL2","BCL2L11","MRPL49","SPIRE2","EIF1B",,,,,"RAB31","DUSP4","MEGF6","XPNPEP2","RTCD1","FAM3C","HTR1D",,,"LPAR6",,"ENHO","BCL6","TMEM107","APPL2","MAN1C1","SERPINE1","SLC38A6",,"NEIL3",,"ILVBL","RCAN2",,"RCAN2","TAAR5","TFPI","RELN","SMPX","TAAR5","JAM2","ADAM19"
,"MFI2","TUBB2A","EDN1","ANLN","UFD1L","ABCC8",,,"CTBP1","NCSTN","DSP","NUDC","S100A8","VAT1","ERN1","ITSN2","DDIT4",,,"MCART1","HOXB1","KCNC3","TREM1","OSGIN2","SCG5","TOX3",,"PCNA","DCAF4","POU3F2","EGFL6","AHCYL1","FAM117A","NPC2","ANKMY2","CLEC4E","AVL9","YRDC","SERPINB2","GABRR2","IGLL3P","OR7E47P","BSN","E2F5","PTGS2","GARNL3","ZFPM2","KLB","GPD1","BVES","IL6","ATF3","FURIN","DDIT4","ITGB2","PKDREJ",,"DUSP14","ATP8A2","DIRAS1","PPM1M","CDH2","SIM1",,,,,"ANXA6","LLGL2","DHRS3","CHI3L1","THOC2","MYL2","JMJD1C",,,"TOB1",,"PSMG4","KBTBD8","LFNG","KCNJ2","SLC6A6","PITPNC1","SNAP23",,"WHSC1",,"HHCM","DNM3",,"DNM3","GABRA3","IL1B","NRXN1","RNASE1","GABRA3","IL1RL2","CDKN2A"
,"UBE2T","FNDC3B","PPAP2C","CD276","ATAD2B","CHRD",,,"ATXN1","MSN","PHF20L1","SLC25A11","DUSP10","RIMKLB","SELRC1","CFH","C21orf2",,,"ABCD2","FGFBP1","FICD","TNNT3","GSC2","ATP8A2","UQCRH",,"ZFP30","ANO2","CLIP3","TF","LOC595101","ABCG2","TRIM29","MTMR11","NR1I2","SATB1","KIR2DL4","ITGB1BP3","TFEC","LILRP2","INA","CXCL17","GALK2","VAMP5","RNF125","SOX15","SLC22A23","PMFBP1","ANKS1A","FBXL8","CHST3","FLNB","PLXNA1","NFASC","CDC37L1",,"ONECUT1","ACVR2B","AHRR","PDXP","SLBP","SLC43A3",,,,,"CACNB4","MAF","PTPN7","IBSP","FLI1","PEX11A","DLC1",,,"MS4A6A",,"LOC202781","EMP1","RHOC","MORN2","CAMK1G","DLGAP4","TMEM45A",,"LY86-AS1",,"SOX17","SLC6A15",,"SLC6A15","CCR6","OCA2","TUBB4A","KCNA5","CCR6","KLRG1","HSPA1A"
,"DFNA5","IL1R1","PTOV1","ARL5A","LOXL2","GNG12",,,"CDKN2A","SMTN","DCBLD1","RRM2","SH3BGRL2","HIST1H2BD","H6PD","BAZ2B","FMO4",,,"PSPN","SAG","CCR8","CSF3R","SLC16A4","SRCAP","CDH13",,"HEY2","LOC645030","TMEM11","DENND4C","TOMM40L","ATP6V1H","NT5DC2","CORO1A","PTPN7","CSHL1","CRCT1","LOC646089","AKR1B10","CILP","PMEL","KERA","MRPL39","TBX5","CCDC71","CDH3","AMN","TMEM186","GATS","SMPX","PIEZO1","KCNC4","TGFB2","EDN1","TTC21B",,"MMP23B","MOGAT1","PPP1R3A","SMARCA1","KCNA1","SPATA13",,,,,"COLEC12","IRF2BP1","CNKSR2","CBL","PSMB10","RNF4","DYRK2",,,"ICAM3",,"CYFIP2","OTUD1","TTC30B","CNIH3","SLC2A4","GATA6","LAPTM4A",,"METAP2",,"XCL2","SORL1",,"SORL1","C11orf41","CYB5R2","TRIB2","PPP1R14D","C11orf41","CHRNA3","DENND1C"
,"CNOT7","TBC1D8","FAM46C","SRSF1","NPTX1","NPY",,,"E2F4","PPY","C12orf44","RAD18","PON1","DUSP10","TARS2","MARK2","MTSS1",,,"UNG","ALX3","KIFC1","RSPH6A","PTK2B","GPR85","RRAS2",,"MICB","RPTOR","FBLN2","NDE1","SMYD5","TBC1D8","PCDH1","PGM1","SLC6A15","MPDZ","COL4A5","ERO1L","PHKG1","DDX25","RGSL1","LTB4R","PFKM","VPS13C","CRYGB","IL36RN","SPOCK1","IRX2","BBX","CLSPN","MGLL","PROP1","CLDN1","IFNA17","RASGRP1",,"GRK1","C10orf47","TAOK3","PLEKHA6","E2F8","DUSP13",,,,,"CDCP1","RAB11FIP1","YRDC","HABP4","MAML3","NBAS","RAPGEF2",,,"TYROBP",,"ACY1","PPP3R1","ZNF117","ZFP36L1","SLAMF1","ANKRD46","USP10",,"TDO2",,"CLDN7","LOC147343",,"LOC147343","CLPS","PDE3B","GRIK2","NKX2-5","CLPS","C6orf103","MAOB"
,"PARP1","KCNS3","ABCC3","PLCG2","SPOP","CBX5",,,"KLC1","FSHR","SPRY2","LYAR","HOXB3","TOR3A","CTRB1","CEP350","ISG20",,,"GSG1","PTGER1","THRB","F13A1","PCDHA6","SNAI1","LRRC42",,"ANKRD18A","KLRG2","LOC126536","CDO1","CEP250","EPS8L1","EPHX1","LOC401034","CDK6","SCG2","TRAF3IP1","ALDH1A3","RASSF8","MYBPC1","WT1-AS","SHISA2","GK3P","SLC2A4","OVGP1","PDK4","RGL3","PSMB9","LCP1","ACTL6B","APBB2","ASPH","C2CD2L","HOXD1","SCN8A",,"DDHD1","SERINC4","CLDN23","GANC","FANCL","RASA4",,,,,"HEY1","PMM2","USH2A","TEAD3","MVK","RANBP6","ATF3",,,"KIAA0232",,"RORB","NKIRAS1","THAP1","C4orf34","C22orf43","CDKN2B","IQCK",,"FGA",,"SLC28A1","DEFB4A",,"DEFB4A","SNAP91","PPP1R15A","KCNA5","SARM1","SNAP91","PCDHA2","FLNC"
,"SHBG","HK2","ACHE","TSHB","CLIP4","CLDN14",,,"PKN1","HIST1H3B","PXN","CCND3","CXCL5","IDI1","KIAA1967","MKLN1","BMP8A",,,"CCDC94","NEUROG1","GPR97","ZNF214","CXCL12","MEP1B","EDIL3",,"PLXND1","OR7C1","FNDC4","INPP5B","AZIN1","ULBP2","BCL3","KCNN4","TSPAN7","DKFZP564C152","SLC16A8","PPFIA4","IL13RA2","CDKL5","MIP","PDK2","FAM129A","AHSP","AK5","HIVEP3","P2RX4","SLC16A3","ARHGEF16","ANGPTL4","NKAIN1","FES","VEGFA","RSAD2","IQCC",,"RABGEF1","TCP11","PTPRCAP","TIMELESS","EFS","PCSK5",,,,,"GNAZ","AHR","C10orf2","RSAD2","ANXA7","ATP6V0A2","KLF4",,,"XPC",,"FBN2","ZNF222","CYBRD1","STAM2","REST","FAR2","RAB4B",,"SLC47A1",,"CHST4","ITGBL1",,"ITGBL1","TTC22","AKAP12","NMNAT2","DCBLD2","TTC22","FOXF2","CD302"
,"ARF3","GBP2","CA8","STRN3","CD5","COL5A2",,,"ARCN1","ADRA2B","PTGS2","NKX2-1","DHCR7","RIPK3","CCL5","SOCS5","TRAF5",,,"DIRAS3","PAFAH1B3","TCF3","ULBP2","HS3ST2","PRDM11","SDC4",,"TIAM1","TSFM","HDLBP","LGALS3BP","TMEM116","KIF13B","ITGB4","ACOX1","TMEM187","CA6","HS3ST3A1","TAS2R13","ECM2","FCGBP","APOB","SGK3","NFIL3","NAALAD2","CD27","HMX2","CD55","CA4","FBXL20","GNA15","PIK3CG","MICB","CSPG4","CPVL","GSTA3",,"PDE6A","CRYBB1","MLL3","ST3GAL4","FKBP10","CRTAC1",,,,,"EPS8L2","HS3ST1","TNFRSF21","FAT2","CCP110","CDC6","TULP4",,,"NAGK",,"MAP4K1","LRRC25","PRKY","MTSS1","SPP1","DKK1","TGFA",,"ORC1",,"HCRTR1","LOC202181",,"LOC202181","OSGIN1","LYL1","GPR19","GPR3","OSGIN1","LRRC15","DKK1"
,"CSTF2","BCL3","ABCG1","FEN1","PSME4","PDE2A",,,"SNRPB2","DRD5","SLC28A1","POLE3","ZNF746","MFSD4","TIPIN","LARP4","RAB40AL",,,"GNA14","PLCB4","HES5","GHRHR","MMP3","SNAPC1","PTPRH",,"KHDRBS3","LRRC61","TMUB1","TAP2","NDEL1","EHD3","BMP7","PTPLA","FPR3","RABGAP1L","ATF6","MT4","TBX2","B3GALT2","TEK","SCOC","SLC7A5","SECTM1","TACR3","C14orf132","LAMA1","PTPN23","STX2","TFEC","TAGLN","COL7A1","ITPR3","DSG3","HTN1",,"CCDC107","AHRR","CNOT3","MYC","RFC5","ZNF428",,,,,"CASP1","PTGER3","IRS1","DNASE1L2","RARS","HDLBP","SMURF2",,,"FYN",,"KDELC1","NUAK1","TRIM23","C10orf46","ST8SIA2","DDB2","MYBL1",,"C14orf177",,"PCDHA9","MAP4K1",,"MAP4K1","ADAMTS6","SPON2","PECAM1","PDCD1LG2","ADAMTS6","TEX12","PLEKHF1"
,"PIGA","CRISPLD2","DBNDD2","DIO1","IVNS1ABP","C2orf72",,,"FSHR","NKG7","ILF2","SLC16A5","DAZL","GIPC1","TRMT5","AHCYL2","SH3BP2",,,"GRHL2","MELK","CD96","HPR","KRT14","PRKG1","HIST1H2AE",,"EPB41L3","NOP14","AAAS","RCC1","C1orf123","ACOX2","EDN1","DUSP4","ERAP2","MRS2","SRD5A1","PRKY","IFNA2","CHRNA6","TUBB1","EGR4","ARL3","CD86","PAK1IP1","WBSCR27","IGF2","EPB41","ARFGAP3","TDO2","SLC22A4","ITGA3","SLC29A1","OR1A2","KLHL21",,"GPSM3","BBS9","PLAGL2","ZNF688","LIG1","SEMA6B",,,,,"LY75","L1TD1","TNFSF14","DIRAS3","PHLDA2","SEPT10","SMTN",,,"IL10RA",,"HEATR5A","BBS12","RTN1","FCHO2","C3AR1","CHRNA5","EIF2C3",,"FECH",,"KRTAP5-9","GABRA1",,"GABRA1","GRP","KCNJ16","CPE","ASGR2","GRP","SV2C","PTPRN2"
,"BUB1","EDN1","FGFR4","SNAPC2","MPHOSPH10","GPR31",,,"CA4","HOXC5","D4S234E","DIAPH3","GAK","EDN1","IFI30","STAM2","KCNC3",,,"CXCL1","SCUBE3","PPYR1","SULT1C2","CACNG2","MYBPC3","PPL",,"NPTX1","PCDHB18","MMP16","SPI1","ANKHD1-EIF4EBP3","INSIG2","TUBB2A","NAV2","ZNF117","BAZ2B","ORAI2","PLEK2","PMEL","PRKACG","OLFML2B","CLEC4A","CDK16","MPV17","KIF17","GZMA","CYR61","WIPF1","NUDT11","CHI3L1","BIRC3","TMEM51","CDCP1","GDF10","DLGAP1",,"JAG1","SAP30","BBS9","PLXNB2","LOXL1","KIF20A",,,,,"FUCA1","SH2D4A","ADAM19","ROR2","TSPAN9","URB2","C13orf15",,,"ZNF271",,"HES6","ZMYND11","GPR34","TNFSF15","CELA2B","G6PD","RABGEF1",,"IQGAP2",,"CNKSR2","DDX6",,"DDX6","CD37","RBMY2FP","KIT","ALLC","CD37","ENG","KCNG1"
,"TAF9","SQRDL","MPZL2","HDGFL1","PLK2","OLFML2A",,,"GGT5","FHL2","AMMECR1L","YIPF3","HIC2","GOT1","GCH1","MAST2","ECM1",,,"F9","PRKCD","ENTPD2","MEP1B","CEACAM5","GPT","MAFF",,"NPAS1","MMP25","EMID2","MLF2","PRIM1","GTDC1","PCDH9","ABCC4","MDFI","CBR4","KCNA2","SCG5","HOXA2","CHD5","SALL2","WNT10A","C8B","CEACAM21","IL8","C10orf35","RHOU","CLEC11A","FAM134B","RAB9BP1","TMEM51","STC2","FZD6","CDKL2","DCLRE1A",,"TMEM218","NRM","SCN2A","PLA2G6","INCENP","B4GALT4",,,,,"RHOB","SPINT1","C11orf80","SLC28A2","MYO1E","SERINC1","SLC7A6",,,"SLC22A18",,"ZNF280C","TTC30B","MAP2","GPR65","HIST1H2BB","HRSP12","PLAUR",,"LOC340888",,"OR1A1","LRCH1",,"LRCH1","NPPB","PRB4","CRYM","WNT7A","NPPB","ANP32C","TM4SF5"
,"BCL2","RHOQ","TTC9","SNORD22","FANCC","ADRA1B",,,"PCGF2","SMOX","NT5E","MBL2","VAT1","ST6GALNAC6","OBFC2A","IL1RL1","KANK3",,,"EPX","IGF2","DTNB","PRODH2","AMELX","KCNQ4","NDC80",,"SAMD1","SCFD2","SOCS1","SMAD2","ILF2","PRPS1","GOLM1","FGF1","ADCY8","TNFRSF11A","CCR3","POMT2","C8G","CYP2U1","CXCR6","RDH5","ASCC1","ALDH1A2","PIGV","KRT13","LAMB1","ATP8B2","SMPD2","FBXW4P1","TACR3","CLSPN","ZC3H12A","MYO15A","KRT8P12",,"PTPN21","PCOLCE","KCNN4","ZBTB8A","CA2","GRTP1",,,,,"FRY","HS3ST3B1","TBC1D9","ZC3H12A","GALNT3","CAPZA2","NDST1",,,"ADAM9",,"RET","GFPT1","ADORA3","UNK","AFP","HSD17B2","KIAA0415",,"SCGB1D1",,"CCL21","CDK5R1",,"CDK5R1","AKT2","BIRC3","C7orf63","IKZF1","AKT2","LOC440334","FADS1"
,"VPREB3","TGFB2","TBC1D8","CSF1","MBD2","PART1",,,"GP2","MALL","SRP72","ILF2","GIPC1","VILL","NQO2","DCP2","LOC650845",,,"APAF1","OR10C1","CLDN6","S100A3","CHRNA10","CCL2","KHDRBS3",,"CHRDL2","LOC100289019","DNAJC22","FBXO6","CCL5","GSTZ1","SIX2","HEG1","GRIN2C","ELF1","OPA3","ATXN1","RAD17","PIP","FGF17","SSBP2","CCDC86","IL8","WNT16","KRTAP13-1","TFF3","LIPF","RAMP2","B3GALT4","WNT5B","BDKRB2","CHST2","SPOCK2","CLMN",,"UBTD1","CTIF","TNFAIP2","SFRP1","BEX2","CDK1",,,,,"SORL1","C10orf2","MAGIX","UGT8","LMAN1","ARHGEF15","LYPD1",,,"TAX1BP3",,"VARS","LY6K","SETBP1","ABHD2","SLC26A4","CBR4","RGS3",,"BRIP1",,"EDDM3A","APOBEC3G",,"APOBEC3G","HAS2","LOC646649","OCLM","AKT2","HAS2","KREMEN2","CXCR4"
,"RHBDL3","SEPT10","RRAGD","UBE2T","EIF2A","MLL",,,"DCAF7","HTR6","UFM1","PRMT5","ARRDC4","KCNQ1","COQ4","DMTF1","DSG2",,,"LOC647070","PODXL","UGT8","NFKBIL1","ANXA10","GHRH","GP1BB",,"ATRNL1","CALML4","PRPS1L1","AURKB","LIMS1","SECISBP2L","PACS1","CEBPD","HIST1H3I","SLC28A1","LOC155060","FCN2","SLCO2B1","LRMP","SLC43A1","DIO1","RPAP1","MON1B","CLN6","THRA","S100A1","ARHGEF16","C4orf34","SLC1A3","VLDLR","C3AR1","SUN2","FAM46C","CPEB3",,"C11orf9","CCDC107","EML3","CLN6","ETHE1","EFTUD2",,,,,"EVI2A","RRP7B","AP3M2","BMP10","GTF2H5","ACOT11","JUN",,,"CLK4",,"ANKLE1","DENND1B","C13orf15","RASGRP3","ABCG5","GCH1","ANPEP",,"OR56B1",,"NAV2","CRISP1",,"CRISP1","CEACAM3","COL9A1","GABRA5","MMP20","CEACAM3","ARHGAP24","C14orf132"
,"HMGB3","SEC23A","WIPI1","SLC35E1","ABCE1","HLA-DRB6",,,"HGFAC","NFE2","HPCAL1","MT1F","GLDC","SAA4","HMOX1","PGAP1","MYO1F",,,"GPR63","NME3","CLDN8","CRHR1","PPEF1","EFNA1","C19orf21",,"DCLRE1B","QTRT1","VWA3B","IFIT2","CLPTM1","ALDH4A1","ACSL1","ETV5","PAIP2B","ZNHIT2","NES","LOC390940","BMX","CMKLR1","ONECUT2","GSTM1","TSC22D3","IL11RA","SNX17","SEMA4G","CAPN6","STIM1","BMP2","ADAM12","ZNF639","CDCP1","VNN1","SLC16A7","EFNA3",,"FAM107B","BEST2","CRYGA","GRM8","PATE4","SNTA1",,,,,"RBM47","TET3","RHBDF2","CDH5","RPS20P14","SERPINI1","ADAM22",,,"GALC",,"SELL","KMO","MFAP3L","GPATCH2","GCKR","PDPN","NETO2",,"IL18R1",,"SHH","ERC2",,"ERC2","A2M","ANKRD36BP2","LOC147343","HTR7","A2M","IFNA7","FN1"
,"FMNL3","BACE2","CXADR","KRTAP6-3","MATR3","GAPDHS",,,"ADRA2A","INTS9","DDIT4L","C13orf27","SUSD4","ROPN1L","HTT","LPCAT4","FPGS",,,"COQ4","ANKRD11","KCNK4","RECQL4","MT1G","CYP26B1","ANKRD1",,"EGR2","WDR4","GP2","C17orf49","AKAP6","GBAS","RAB5C","PSMB9","LRRC8B","PTGDS","PAQR5","PRKG2","HIST1H1E","THBS2","ZNF20","C16orf5","EIF2B3","TNFRSF10C","LRFN3","APOC4","CTGF","PKDREJ","TINAGL1","LOC440792","BMP5","POMT2","DDX11","PFKFB4","LDOC1",,"SNTA1","RDH12","ELAVL3","MSH6","LCK","MBD3",,,,,"MARCKS","PUS7","SH2D4A","MYH4","VPS39","NDRG4","TLE3",,,"RPS6KC1",,"GDA","SPRED1","SQSTM1","HBEGF","DEFA5","FADS2","SLC30A1",,"GCKR",,"FRMPD1","RRAGD",,"RRAGD","C1orf114","OSGIN1","SLC12A3","SLC16A8","C1orf114","MLXIPL","TMEM47"
,"POLA2","SAT1","MALL","SHC1","NXF1","FAM50A",,,"psiTPTE22","RAB31","MNAT1","NMB","FKBP8","HIC2","TPH1","TDRD3","LHX2",,,"C8orf51","HMX1","CLEC16A","GJB1","ETV5","SLC27A6","FYN",,"FAM158A","WDR83","TRIM15","PSMB9","MDH2","RLN2","PDLIM7","GABBR2","DPEP1","GPR116","TMC7","TRIM58","UGT2B15","IL17A","SCAND2","TREH","ACACA","PPAP2B","TSKS","FMNL3","UNC5B","MLLT1","RNF128","SLC1A5","CDC42EP2","CCND1","KCNJ15","HPR","KLRD1",,"TRAFD1","BCL2L11","IRF6","SLBP","C3orf37","DCTPP1",,,,,"ARHGAP25","ELMO3","HTR4","LEPREL2","ZNF84","TGIF2","SOCS6",,,"MS4A4A",,"DKFZP564C152","GNPDA2","TRIB1","WDR19","AKT2","TIMP4","GTF2E1",,"LOC728485",,"DGKQ","EFCAB6",,"EFCAB6","IGFBP3","FAM30A","SCG5","CRYAA","IGFBP3","CFHR2","CHST2"
,"USF2","GABBR2","GRAMD3","REG1A","NUSAP1","BASP1",,,"APOC1","TAGLN","SOX9","ZWINT","BSND","FXR2","KIF9","BCLAF1","CAMP",,,"CUBN","RBP1","MYO5B","LIPE","CD5L","ESM1","CST6",,"NUDT22","PRMT3","DCLRE1A","EVL","VAMP4","P4HA2","GDF15","NMI","DMD","NPVF","CDCP1","FGF6","DEFA4","CD160","TSSK2","PSAPL1","RABEPK","ARL4C","MYCT1","ALX3","P4HA1","IFNA2","ZNF521","GDF5","IL8","CXCR7","ABCC5","LHX2","MTG1",,"TMEM35","GALNT10","B4GALT1","PCNA","SERPINF1","ATP2A1",,,,,"GFI1","ZNF276","RAB11FIP1","MC3R","SERPINB2","PAF1","RUSC2",,,"CYLD",,"FAM203A","GPNMB","ZBTB6","CREB5","XPNPEP2","PPP2R3B","DMTF1",,"MTHFD2",,"DUOX1","CLUL1",,"CLUL1","PRY","S100A5","RNLS","BCL2A1","PRY","POPDC2","KCNN4"
,"PARP16","APOBEC3B","LMO3","LATS1","PTCD3","PLEKHA6",,,"COL5A2","PCDHGA12","PTP4A1","LMNB2","NEU1","SOCS6","ATXN7L1","TRIP11","C3orf37",,,"SEMA5A","FGF20","DNAJB13","SLC5A2","EVI2A","MAGEB4","BIRC2",,"FEN1","C5orf46","FBXO44","EMID2","IST1","EFCAB11","ST6GALNAC2","MAP3K5","ZNF91","CACNA2D3","APOF","KCNN4","DGKQ","RPS2P45","EFS","ADAM3A","PANK3","SLC1A3","INO80B","A4GALT","GPC3","SOX11","RIPK4","EIF3FP2","PSAT1","C2CD2L","SLC22A4","KCNH7","FLT3",,"RAD51","ABCG4","SOX15","TTI1","TMEM119","SLC22A3",,,,,"NR4A3","DUSP2","PPP4R4","NR1H3","IL12RB1","PSMC6","WNT3",,,"FAM98A",,"BIK","C20orf194","APPL2","HIST1H2AC","HGFAC","ADAM8","SAA1",,"C14orf149",,"COL6A3","RETN",,"RETN","RMST","FAM155B","GHRH","BANK1","RMST","SLC7A4","ZNF134"
