"GLI1_UP.V1_DN","GLI1_UP.V1_UP","E2F1_UP.V1_DN","E2F1_UP.V1_UP","EGFR_UP.V1_DN","EGFR_UP.V1_UP","ERB2_UP.V1_DN","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_DN","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_DN","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_DN","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_DN","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_DN","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_DN","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_DN","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_DN","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_DN","AKT_UP.V1_UP","MTOR_UP.V1_DN","MTOR_UP.V1_UP","PIGF_UP.V1_DN","PIGF_UP.V1_UP","VEGF_A_UP.V1_DN","VEGF_A_UP.V1_UP","BCAT_GDS748_DN","BCAT_GDS748_UP","BCAT.100_UP.V1_DN","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_DN","ATF2_S_UP.V1_UP","ATF2_UP.V1_DN","ATF2_UP.V1_UP","WNT_UP.V1_DN","WNT_UP.V1_UP","ATM_DN.V1_DN","ATM_DN.V1_UP","P53_DN.V2_DN","P53_DN.V2_UP","RELA_DN.V1_DN","RELA_DN.V1_UP","P53_DN.V1_DN","P53_DN.V1_UP","BCAT_BILD_ET_AL_DN","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_DN","E2F3_UP.V1_UP","MYC_UP.V1_DN","MYC_UP.V1_UP","SRC_UP.V1_DN","SRC_UP.V1_UP","SNF5_DN.V1_DN","SNF5_DN.V1_UP","CAMP_UP.V1_DN","CAMP_UP.V1_UP","LTE2_UP.V1_DN","LTE2_UP.V1_UP","MEK_UP.V1_DN","MEK_UP.V1_UP","RAF_UP.V1_DN","RAF_UP.V1_UP","PRC1_BMI_UP.V1_DN","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_DN","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_DN","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_DN","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_DN","JNK_DN.V1_UP","BRCA1_DN.V1_DN","BRCA1_DN.V1_UP","CTIP_DN.V1_DN","CTIP_DN.V1_UP","PKCA_DN.V1_DN","PKCA_DN.V1_UP","MTOR_UP.N4.V1_DN","MTOR_UP.N4.V1_UP","PTEN_DN.V2_DN","PTEN_DN.V2_UP","DCA_UP.V1_DN","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_DN","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_DN","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_DN","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_DN","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_DN","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_DN","BMI1_DN.V1_UP","MEL18_DN.V1_DN","MEL18_DN.V1_UP","PTEN_DN.V1_DN","PTEN_DN.V1_UP","NOTCH_DN.V1_DN","NOTCH_DN.V1_UP","EIF4E_DN","EIF4E_UP","CRX_DN.V1_DN","CRX_DN.V1_UP","CRX_NRL_DN.V1_DN","CRX_NRL_DN.V1_UP","NRL_DN.V1_DN","NRL_DN.V1_UP","RB_DN.V1_DN","RB_DN.V1_UP","RB_P107_DN.V1_DN","RB_P107_DN.V1_UP","RB_P130_DN.V1_DN","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_DN","RPS14_DN.V1_UP","IL15_UP.V1_DN","IL15_UP.V1_UP","IL2_UP.V1_DN","IL2_UP.V1_UP","IL21_UP.V1_DN","IL21_UP.V1_UP","PDGF_ERK_DN.V1_DN","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_DN","PDGF_UP.V1_UP","TGFB_UP.V1_DN","TGFB_UP.V1_UP","YAP1_DN","YAP1_UP","SIRNA_EIF4GI_DN","SIRNA_EIF4GI_UP","HOXA9_DN.V1_DN","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_DN","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_DN","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_DN","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_DN","KRAS.DF.V1_UP","TBK1.DF_DN","TBK1.DF_UP","TBK1.DN.48HRS_DN","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_DN","JAK2_DN.V1_UP","KRAS.300_UP.V1_DN","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_DN","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_DN","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_DN","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_DN","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_DN","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_DN","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_DN","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_DN","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_DN","LEF1_UP.V1_UP"
"LIN37","SAR1A","POLD4","ZFPM1","GPER","GCNT1","SLC6A14","CSGALNACT1","SH3BGR","POLA2","SLC19A1","ARL5A","NCF1","PTGIR","IL6",,"TFCP2","CCL23","VASP","APOC4","DDX17","NOP16","PRSS12","MCM3","MTHFD1","PARM1","SMARCD3","AK4","CXCR7","FOXI1","POU2F3","CCPG1","ITGA2","TNNC2","ZNF318","PKP2","DKFZP434A062","ENO2","FBLN2","WNT5B","PNMA2","STAT5A","GSTA4","SEMA5B","EPHA1","TAT","RAB38","SLA","LCE2B","MAK","HGD","CDH11","OSBPL10","KRTAP2-1","RAP1A","SAMD11","SPRR1B","SSSCA1","WT1-AS","DUOXA2","MST4","LHX2","CHST15","RUVBL1","IFI44L","ELF5","DDX58","S100A6","LRIG1","EPAS1","BARX1","C1orf95","CORO1A","ATXN1","PEAK1","NUPL1","TRAC","FOLR3","SERPINF2","N4BP2L2","TCF7L1","IL1RL2","KCNC1","MYOM1","SEC1","SPTBN4","EVI2A","MFAP4","DDX3Y","GMIP","C1orf135","ANKRD53","KLF4","C14orf37","TUBB3","CTSH","MRAS","ZMAT5","PCOLCE","APLNR","KIAA0509","GRPR","PCP4","GAL","CCKAR","SLCO2A1","AQP3","KIF21B","FMNL1","ZNF613","CCDC70","GRIN1","FAS","KCNC2","GFAP","ANKRD33","WWC1","AQP1","NR4A1","PLEKHA2","MOXD1","GNB1L","BDH1","CDK2","IDH1","IER3","KIAA1161","OGN","NAPB","UGT8","PBK","POM121L9P","CNTN1","FOSL1","TNS3","TNFRSF4","MPDZ","C1orf20","KLF10","LAS1L","EVI2A","MBTPS1","SSX3","TUBB4A","PRCC","MYLK","CSAG2","SLC25A5","FCGR2B","TFEC","DAPP1","BACE2","LOC285758","EGR2","SERPINB2","CDKN1A","HMOX1","PROM1","FKBP6","EPB41L4B","ASPH","CCNE2","S100A8","DUSP22","FCHO1","NQO1","CTGF","MLL","LBX1","KRT38","NRCAM","KRT38","NRCAM","KRT38","NRCAM","PDE6B","TAGLN3","ENTPD5","SPINK1","IL23A","AK5","KRT13","INHBA","PDE6B","TAGLN3","COBL","MMP17","MOSC1","CRIP1"
"RNF10","PLXNA2","HES6","CLN6","IRS1","A2M","RAB31","S100A6","CCR2","KIFC1","FMO1","FTSJ3","IL12RB1","ALOX15","CXCL2",,"NKX3-1","LOR","PVALB","EPHA2","LRIG2","TOP1","STARD4","GINS2","CAV2","IL8","SASH1","ANGPTL1","HSPA1A","PFKP","IGFBP6","CRYZ","ACE","CHRNA1","C5orf42","MSX2","C22orf46","C1orf222","CRLF1","PRKCD","ADORA2B","CLDN1","ABCA1","NBL1","STX2","ICAM5","CFD","PRDM11","FMO5","F3","VCAN","LSR","RIF1","PALMD","PLAT","MYB","IRGC","P2RX5","TGM5","LOC653605","HOXA5","LY86","ENO2","AARS","GREB1","C10orf116","HIST1H2AC","UPK2","PMP22","CAPN6","ADAMTS7","MYL3","FBXO17","C21orf7","CACNA2D2","ARL4C","ANK1","ACTA1","MYL9","RUNX3","VAMP3","USP9Y","CD53","APOBEC1","WDR5","ACOT12","MIS18BP1","CYTL1","WIPF1","TRIB2","PTPRG","CYP2B7P1","EGR1","SESN3","NXF1","PTH1R","LAMA1","SYT8","KLF4","EOMES","STUB1","NTRK1","GAS2","PAPPA","FLJ42627","CPA4","LECT1","CCND1","ST8SIA3","IFNA6","ABCB9","PPEF2","UBA7","HAUS7","SOCS3","PDIA5","RERG","WISP1","RASGRF2","SLC24A1","IL33","THRA","PMM2","MAD2L1","TMEM87A","HINT1","BMPR1B","GPR126","GABRA5","FA2H","ADD2","CELA2A","ZNF571","TNFRSF4","CD160","IL13","POU1F1","LILRB4","POLG2","SLC39A7","CHST15","TMEM158","FGF6","SGK1","LOC285281","TEAD1","SLC43A3","WISP2","ALOX12","ZMAT3","C1orf116","SPIN4","GPM6A","TWF1","LOC645919","PKIB","BTG2","HOXC11","DLX5","FBN2","BBS9","BMPR2","SPOCK1","BIRC5","PSRC1","UGDH","CYR61","RFX3","PTPRO","IGF2-AS","DOCK4","IGF2-AS","DOCK4","IGF2-AS","DOCK4","IVL","KRT34","EPHX2","ESM1","AADAC","SORL1","CXCL14","KIF5C","IVL","KRT34","LUM","MMP11","ERN2","FOXF2"
"RUNX1","ZBTB16","LIMA1","CASP7","CYBA","ASPH","IFI44L","HSD17B11","VAV1","KIF4A","RAB34","AURKB","VENTXP7","MPO","CD83",,"PRKCQ","PPIB","PIK3R1","CENPB","DHRS3","SMTN","FADS1","SERPINB7","IL17RC","GDE1","PROM1","CDKN2B","PPP1R3C","MCM6","PKLR","SCAF11","NEK7","SPINK2","RALY","FLT4","TMPRSS2","PPP1R1A","A2M","NEFL","CSGALNACT1","PAX1","SH2D2A","XCR1","ZNF208","TIAM2","GPSM2","CLEC1A","TBX5","ZNF286A","ELOVL2","LOXL1","PRKDC","STXBP2","LHX6","CCNE1","UTS2R","GLRX5","GJB6","AGPAT3","RGS5","CD68","CELF2","HSPA5","HERC6","EPAS1","BST2","MEF2C","CCND1","HPGD","DNMT3L","LOC284244","ABCB8","TMEM187","MIS18BP1","PKIA","PAX1","SLPI","CHD1L","PDE4B","MSH5","RNF122","GPR144","HTR3B","DDX6","DLX1","FBLN5","BHLHE40","FES","BUD31","CPB2","CRIP2","GBX2","ADCK3","RRP12","CUBN","SPINK1","FOXQ1","RRP9","CTSH","KCNN4","TREM1","SEMA3E","TEK","DYNLT3","SLC2A6","ID4","LTBP4","TNR","MIA","SPRY4","KCNH2","ITPRIP","CARTPT","MYOCD","GUCA1B","CHRNB4","SAMD11","EN2","PDIA5","NDRG1","ZSCAN22","EFTUD1","CDC25B","C3orf70","C11orf31","CYP4F11","OMD","RAMP3","SERINC5","B3GALNT1","EMP1","SEC14L2","GADD45B","CACNG3","GADD45B","TNNI3","CPA4","BCL10","PTGDS","PRSS1","LRPAP1","MPPED2","IRS1","THNSL1","RHOQ","C2CD2","DDX54","E2F8","S100A8","LAD1","LOC644480","PRAM1","TNFSF15","CYP4F3","PPP1R17","IL1B","C22orf46","RPL23AP53","PSPH","TLR2","ZNF395","TUBA1A","TOR1A","APPBP2","FZD7","DAB2","CSAD","SPRR2B","LY6D","SNAP91","LY6D","SNAP91","LY6D","SNAP91","SPTBN2","ESM1","DTX2","SCG5","THRB","METTL7A","COBL","CD247","SPTBN2","ESM1","CDH16","LMO1","RAB25","TMEM22"
"QRICH2","YBX1","FGF19","BOK","GULP1","CYP1B1","IFI27","EPAS1","LGALS9","TYMS","MLLT1","COX7B","MUC3A","P2RX7","CXCL3",,"PIK3R1","HSD17B10","PDCD2","CD52","ALDH1A1","STC1","CHL1","HAT1","STEAP1","PLK2","PPP1R3C","PLK2","NR1D1","ALDOC","GYPC","ROR1","KIF22","OR7E24","SLC27A6","ABCB1","IGFBP5","GCNT1","HAPLN1","FANCF","PLA2G16","GNA14","PCP2","MAZ","STK17B","COL9A3","PBX2","PIDD","WNT2","FOSL1","PTPRM","SLC16A2","STARD13","RPS6KA1","BCO2","RRAGD","NTF4","SLC25A26","MMP10","TOX3","KRT18","MYH1","USP36","CEBPG","IRF7","CHST11","DLC1","EPAS1","SELENBP1","ANKRD6","ONECUT2","CCNT1","CSPG4","N4BP2L2","THBS2","COL13A1","HOXA10","NGB","RARA","OR2B6","GATAD2A","HMGA2","CLMN","SMPDL3B","LARP7","ENPP3","ANKRD36B","CLIC4","CEBPA","LOC647835","NUDT11","NPC1L1","ANXA3","CRELD1","ERAS","NRK","TAGLN","ARHGAP27","SFN","APOM","MAEA","SLC7A5","FOS","ITGA5","PLEKHA4","ADRB2","STON1","ITGA5","TAS2R10","ALOX5AP","PPFIA4","ZNF230","CWC22","PFDN2","SERPING1","REEP6","INHBB","CDR2","MYOCD","PDE6B","EIF4E","FXYD6","EIF3C","TCF19","SLC2A1","MYLK","SLC7A10","CNN1","RASL10A","COL20A1","RGS5","LECT2","VWF","IL13","A4GNT","FOSL1","TAS2R9","PTH1R","FBXL14","FAM149B1","FBN2","GNG11","NR2F2","TFEB","LIMD1","FLOT1","PSME3","LETMD1","PDK1","CYFIP2","CLDN7","ASL","CEACAM6","RIN2","NLRC3","BTG2","THBD","HBA1","CSN2","SLMO2","PRG1","RPS6KB1","RAD51AP1","GNA15","OXSR1","LEF1","DDAH1","C15orf5","CSN1S1","SPRR1B","STC1","SPRR1B","STC1","SPRR1B","STC1","P2RX1","PDE2A","ALG1L2","CLSTN2","PROP1","ATP1A2","SERPINB13","CELA2B","P2RX1","PDE2A","CNTFR","CD79A","TRAF3IP2","DHRS2"
"SEPT9","SGTA","RALGDS","PITPNM1","EGR3","CMAHP","IFIT1","EGLN3","WIPF1","DNAJC3","LAMC2","RRM2","EPHB4","PPIP5K1","IL1B",,"UBE3A","HSPG2","TXLNA","AXIN1","LDB1","FRMD6","TMEM119","MZT1","SLCO3A1","SNHG11","PI16","IL8","PHF1","AK4","LOC730101","ITGA2","RGS2","CORO2B","HR44","AIM1","RALGPS2","PLEKHF1","CYP1B1","MAS1","TCF21","CST5","IGFBP6","COL4A4","ITPKA","BCL2L11","SERGEF","GPA33","HTR3B","THBD","IRF4","COL1A2","PRPF38B","BMP4","KIAA1659","ZNF483","BCO2","ECE2","ZBED2","ATP6V1E1","NPR3","PENK","ASAP2","RCHY1","OAS1","RFTN1","SLC6A14","CEACAM6","IRS1","MYCL1","FABP2","CACNA2D3","NYNRIN","AKR1B10","CORO1A","TSPAN13","PTGDS","SLC15A3","TRAF6","LOC652068","LYVE1","SIX1","CA14","HDAC9","RWDD3","CYP2C8","BTG2","BCAT1","GPR3","GPR87","SLC7A9","SLC28A1","RRP8","MEP1B","MDN1","RBP4","BHLHE40","SPOCK2","S100A4","FOXQ1","NMNAT2","DMP1","SLPI","ITGB8","ID4","LAMB3","CXCL14","JAG1","PRKX","BMPR1B","LY6G6E","TPPP","FNDC3B","ZNF576","INHBB","TNFAIP3","CAP1","RNF207","SLC8A3","SH2D1A","LGALS9","EPHX1","PINX1","NCAPH","TXNDC9","GFER","HAPLN1","MYOF","HCN1","ICK","CNN3","IL8","EFNA1","CDC25A","HBP1","VDR","PDE6B","TLR6","CDR2L","ALDH5A1","C9orf38","PFKFB3","SLC30A1","FGB","LOC283547","C8orf58","CDR2","HADHB","CSRP3","CCR2","AREG","CHML","RASGRP1","ZFP36L1","ID3","ITGB8","MAFB","MXD3","NPBWR2","BCAM","PRSS3","YES1","IGSF3","PAFAH1B3","FSD1","IGFBP3","ASAP1","DKFZp547G183","GRM5","SLC6A14","FAM155B","SLC6A14","FAM155B","SLC6A14","FAM155B","TRIM48","IL37","SCN7A","TAGLN3","MX1","NEFL","SERPINB3","RBP4","TRIM48","IL37","S100A8","TLR4","C4BPB","PRF1"
"ARPC2","CSGALNACT1","SNAPC3","EFNB2","FAM50A","TNFAIP8","DDX58","IL1R1","LYST","FBXO45","NACC2","MCM6","SYNGR4","TGM4","NFKB1",,"XGPY2","EIF5A","KRT17","SLC19A1","CDKN1B","ITPRIPL2","MAMDC2","MT1B","ANGPTL4","TESC","FXYD1","SFTPD","TNNC2","BST2","KCNAB2","ANGPT2","TSPAN8","MYO1A","RPS6KA5","SLC39A14","DAZL","CHODL","SFRP4","CD8A","NPIP","MAS1","PLXNA1","PLAC9","C17orf88","ABCG5","FAAH","RORC","CALY","KCNA1","TNFSF9","AUTS2","IRAK2","CALR","ZBED2","CEBPA","S100A9","TGFBRAP1","PPIL1","CEACAM19","ITGA3","OASL","MAP2","SPOP","FHL2","MAOA","RHOBTB3","ALDH3A1","TFF1","PYGL","PAGE4","DKFZP434C153","WFDC1","NUPL1","OXTR","KIAA0319L","SLC16A10","C1orf21","ADAM3A","UNG","CDK11A","IQCA1","EDN1","KCNK2","BATF3","HOXB4","NFE2","IL21R","RGS2","CCL16","STAG3","MCF2L","GSG2","FAM134B","GLI2","HS3ST1","S100A4","WDFY3","TCF15","COL2A1","ABHD8","SPRR2C","LECT1","NAV2","DPYD","CLDN1","KCNJ16","KCNN3","PTENP1","HTN1","MRM1","AMPH","CTSC","IDH1","CEBPD","OPN1SW","TNC","LRRC2","WWC1","SAMD11","CST9","ZFP30","NARS","TRPV2","IDI1","PIWIL1","BTBD17","FBLN5","EPB49","NINJ2","PKLR","CD14","TGM3","SOCS2","MOSC1","SOCS2","C6orf27","C19orf28","MAD2L1BP","CREG1","DKFZP564C196","ORC2","CXCL2","HYAL1","GOLGA2P5","SNAP23","FCHSD2","CCT4","CST7","SORL1","AMPD3","UCA1","VAT1L","DOCK4","TPD52L1","GNG11","TFPI","CYP2C18","FCER1A","SP2","ELK3","IRF2","PNP","DLD","MYCBP","GPR32","DLC1","FLJ21272","SNCB","KIF25","DYNC1I1","KIF25","DYNC1I1","KIF25","DYNC1I1","CDH12","SMPX","CCDC121","IL1RAPL1","KIF21B","PEG3","AKR1B10","G0S2","CDH12","SMPX","ARG1","CR2","NME3","TGM2"
"CD2AP","WEE1","IFT20","CAPRIN2","MDK","CSGALNACT1","MSMB","SLC2A10","RRAGD","TOP2B","TNNC1","CDC25C","COL9A1","CDC42EP2","NFKBIA",,"ATF7","MUC5AC","SMPD1","MUC5AC","CIRBP","FZD8","SC5DL","TRNP1","CHN2","CRLF1","FAM20C","SPHK1","VSIG2","PCYT2","CRX","ATR","INHBB","RELB","CDK5RAP3","DEFA5","PMCH","RUNX1","GALNT12","TRPC4","GAS1","LAS1L","GPX3","HPS4","HHLA2","DYSF","RNF17","RIPK4","CLDN6","CST5","GAL3ST1","psiTPTE22","CTBP2","SLC27A2","MFSD2A","C6orf168","FGD2","UTP14A","IRAK2","LINC00112","DSP","GABRQ","AK5","XIST","OAS3","TNNT1","PRKAR2B","FGFR3","LPGAT1","NFE2L3","LY6G6C","XPNPEP2","TNFRSF10D","SLC6A15","C6orf25","DNAJC12","BCL2L14","ERMAP","FABP6","IL8","PDLIM3","PRSS21","PLA2G2A","GRID2","PLA2G2E","VWA1","TRAT1","ANXA3","UNC119","KRT15","KLHL1","CATSPERB","SPRY4","CIDEB","CORO1A","APOA2","BCL3","FGF19","MORC1","MOGAT2","SPTB","CRYGA","SCNN1A","LAMB3","SEMA3E","ATP13A2","BST2","EDN1","ATXN3L","ZBTB10","ABCA1","IFIT1","VPS13C","AHSA1","INSM2","HCLS1","CNGB3","PPARA","TRAPPC3","POLG2","ADAM12","MRE11A","SLPI","RPA3","KRT6B","C16orf48","GLT25D2","INSL6","NELL1","SRPK3","ERCC6L","ACTA2","CD72","RGS3","RIN2","RGS3","CORO2A","GRIA4","PPP1R10","NEK9","HYAL3","SIK1","FSTL3","CCDC82","TEX101","DLX5","RNF34","CTSH","SLC2A3","MARCH2","MST1R","CARS2","NUDT11","NRP1","GPRASP2","PID1","CFL2","GRIK5","MAGEA6","AUTS2","GFPT2","SRPR","CIB1","ITGB1BP1","LBR","SQSTM1","DUSP1","NSMCE2","TLX1","SERPINB13","ST3GAL6","SERPINB13","ST3GAL6","SERPINB13","ST3GAL6","AKR1B10","RBP4","HOXB5","CDSN","PTPRCAP","CDK5R1","MAP2K6","GBA3","AKR1B10","RBP4","KRT13","PDK4","PAPSS2","C10orf116"
"ACSL6","TRIM23","AVPI1","MTSS1L","BCL2","KIAA1199","ARHGAP29","KRT81","CPT1A","KRT26","NMI","PIK3CA","ZNRF4","TIMP2",,,"IFIT3","EPHA2","FLOT2","RRAS","LOC100132292","EHD4","HMGCS1","S1PR1","FAM20C","TMEM40","PKP1","TMPRSS4","KLF2","GPX2","SERPINA3","SAT1","PNO1","DUSP8","PDHA1","BAMBI","B9D2","FUT1","SLIT3","CD24","HOXB2","ABLIM3","NFATC2","TFF3","SLC24A2","GRIK1","NKX2-1","SYN1","TFF1","HTR1F","VGF","EFEMP1","ATP10D","B4GALT1","SPTB","TM6SF1","CLCA4","DGAT2","RAP1A","C9orf37","ANK3","C3AR1","DST","GMPPA","DDX60","EHF","UBE2L6","S100P","SLC7A2","GPR37","APOBEC1","CLCA1","GSDMD","HIST1H1C","PRIM1","IL6R","BBC3","CNPY4","RIMS1","STARD13","INSR","INE1","FLJ11235","MED18","CLEC4D","SLC23A1","LINC00342","SEC24D","MGA","NAV3","NPIP","LPAR3","MYC","NR1D1","MYC","MOGAT2","KLF4","ENPP2","ACTN3","SOX17","IFI44L","SPP1","MIA","ADRB2","SFXN1","GREM1","SEPP1","STC2","SEMA4D","MAN1A1","FCN1","TNNI3","SNAPC1","ZBED2","SERPINA3","HSPA1B","RASGRF2","ALPL","NFKB1","RNF207","RPS2","CTC1","LAS1L","WDR90","CTSB","SEMA5B","SLC6A11","AKR1B10","CCK","KIAA1958","EMP2","SCN3A","FZD2","VDR","SLC17A5","CDC25A","LPPR4","FA2H","PER1","TAF12","LILRB5","FOSL1","CXCL1","FAT4","ZBTB39","RPN2","SRPK1","ST13","GNA13","SAMHD1","MAOA","ART3","CHML","PID1","CACNA2D3","TFEC","SGK1","HIST1H1T","HSPA1L","IL24","COL6A3","SEPHS2","LANCL1","RALB","ZMIZ1","MPPED2","DUT","DAPP1","FGG","SPRR3","CDR1","SPRR3","CDR1","SPRR3","CDR1","TNNI3","HSD17B2","MYOM2","HSD17B2","OR7A10","ANK3","S100A12","OGDHL","TNNI3","HSD17B2","NEU3","FGF22","AIM1","TRIM48"
"ZMYND11","POFUT2","SERPINA3","KLHL21","HIST1H3H","LPAR6","CLIC3","SGPP1","C4orf32","ATF1","PDCD7","TMOD3","SEC16A","GRK1",,,"CYP2F1","AGXT","SART3","DMWD","ACCS","TXNDC12","DHCR7","VEGFC","RPS6KB2","KCNK5","SH3BGR","PARM1","OLFML3","RRM2","SMG6","C19orf6","RRP12","IL32","PABPC3","PLEKHB2","LOC643326","PTRF","KCTD12","FSD1","CECR1","PTPRT","CYBA","PPP1R3C","RETN","CIITA","HOXA11","POU2AF1","KCNJ1","MTMR11","HOXD8","ADORA2B","PTHLH","HMGB1","PRSS33","UBE2QL1","LOC646014","PIGW","CLCA4","C1orf222","CP","DDX3Y","CCND2","SLC22A17","GPER","MGAT4A","IFI44","CLMN","DLC1","SERPINI1","PTPRO","PRND","AMDHD2","GALNT3","HP1BP3","ITGA2","HLA-DQA1","VILL","PLCB1","HR","CCDC132","SLC16A6","HSAJ2425","SNAI1","IGH@","TCHH","HIST1H2AC","OPN3","NEO1","LIPG","LRP5L","CORT","AP4M1","ASCL2","SPRY4","SPP2","HTRA1","FGF5","SLC27A2","VEGFB","NAT2","PSAT1","TMEM176A","FAP","NMNAT2","TEK","GAS7","VEGFC","KIAA1024","P2RX6","BAIAP2","NR6A1","SH3YL1","SNTB1","GULOP","VTN","GULOP","EDN2","RNF25","LRRC2","DKK3","RPA1","NUCB2","LGALS3BP","DDX46","UBE2C","AIFM3","LTBP2","SST","RTKN","TGM2","EGR3","RLN2","FLT3LG","EVI2A","C19orf28","KDR","NUDT11","PNRC1","SNRPD3","CTNND2","DNAJA2","KIF18A","RRAD","ZNF645","C9orf95","SPTSSA","MPV17","CYP51A1","GPR18","PRSS22","VKORC1L1","C2orf68","STC1","LOC283663","HIST1H2BG","FOS","CEP41","GABRR1","TNFRSF9","GNG11","NUPL1","CDK8","UFM1","TM9SF2","FAM5C","ECT2","KIAA0485","CCIN","DXS542","SNAP25","DXS542","SNAP25","DXS542","SNAP25","GLYAT","ZP4","PDE3A","DNAJA4","ETS1","PLSCR4","TGM1","LRIG1","GLYAT","ZP4","TUBAL3","GLB1L2","CXCL5","DCLK1"
"BBX","C16orf45","RAB11FIP5","TLE4","IFI27","GLRX","MYC","VTCN1","MAN2B1","MYT1L","KPNA1","SGOL1","YIPF2","CDH4",,,"PDYN","HTR6","COG2","SLN","SKP2","DDX21","HMGCR","CRISPLD2","MSL2","DHCR24","TNNC2","ATF3","KIAA1274","FGFBP1","IRF2BP1","AKAP9","RRM2","HTR2A","IGHM","NPTX1","KLHL4","ENC1","GCH1","CEP41","GSTT1","C2CD2L","KRT6B","AP2S1","TLR7","IGFBP4","PGF","TFAP4","TRAF1","TPMT","MITF","COL3A1","FRYL","CTSD","BDKRB2","KISS1R","ZBED2","TECTB","EIF3CL","NYX","MAPK13","SFRP2","CDCA7L","IL8","PARP12","SDCBP","EGR3","ASPH","MGP","GRAMD3","ITGA7","PELI1","PACSIN3","PLSCR4","MCM2","KLF4","KBTBD11","SETBP1","GGCX","CXCR7","LYL1","STAR","MAPK11","MTL5","MALAT1","ACHE","FRAT2","SLC3A2","CYP11B2","ARVCF","SNCB","COLQ","ADAM23","ST5","PCOLCE","SLC39A8","KCNA1","MBD4","MDN1","P4HA1","MYL10","OLFML3","APOE","CLDN1","STON1","SLC7A5","AK1","SLC1A4","NDST3","LYPD1","FUT3","STAT2","CCAR1","MTX2","TMOD1","MEF2C","RGL3","REEP6","MOXD1","EDN2","MVP","NOXO1","AP3D1","PCNA","LIFR","CHCHD7","KCTD14","FAM178A","LIN7B","AHR","CHAC1","CLEC7A","FAM124B","PTCH1","ZNF446","CISH","KCNC4","MVD","EFNA3","C7orf54","BCL3","WDR46","HS3ST1","PDGFA","IL4R","PRKACG","SRSF8","ALDH7A1","BCAT1","SLC22A4","SEMA4B","LOC283663","MATN2","GDF15","TMEM45A","SGK1","GJA1","CHL1","CCDC57","TRA2A","VEGFC","SCARB1","FAT2","ATG3","EDN1","PGD","EMP2","RUFY2","FN3K","MX2","ANGPTL4","MX2","ANGPTL4","MX2","ANGPTL4","APOB","SPINK1","CLSTN3","KCNK15","HIST1H2AI","ITGBL1","KLK7","FBXO4","APOB","SPINK1","NCR3","ZSWIM1","TMED3","L1CAM"
