"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","MTOR_UP.N4.V1_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","EIF4E_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
,"PRC1","ACTG2","MUC3B","SEH1L","TNFSF11","SOCS1","BATF","CSRNP2","KIF22","POLE3","NEIL3","CREB1","LOC730101",,,"PTGDS","CLDN15","RNF112",,"FUT5","MBLAC2","DLL3","FLOT1","HSD17B14","PACSIN3","RCAN1","RIC3","VTN","EREG","SST","NQO2","DPP6","CDKN1B","PDGFRA","TNRC6B","CLDND1",,"PLAC4","IQCG","POU4F2","KCNK3","PHF16",,,"MAP4K3","C5orf41","GPR34","C11orf16","CCNT2","TMEM104",,"MKRN3",,"MKRN3","NTM","SCEL","GPRC5B","ZBTB44","NTM","LINC00341","ERVMER34-1"
,"USP10","LRP8","APLP1","IRF6","FRMD6","CES1","KCNAB2","YWHAG","FARSA","TOM1L1","RANBP9","TNFSF10","OPRD1",,,"IL17RB","FSHB","CLEC4E",,"FAM78A","LOC127841","OPRL1","KAT5","MEIS2","KLF4","SEPT6","GABRA4","FAM190B","CROT","MYT1","LPCAT4","CASP2","BCL2L2","RNF130","FAM189B","SIX5",,"ECM1","AHR","ALDH4A1","LSM1","RHOB",,,"ARNT2","C10orf54","ACVR1","SEMA3E","CD97","EFNA1",,"TRIM36",,"TRIM36","CMKLR1","PROL1","VIPR2","LINC00472","CMKLR1","MAGEB3","ISYNA1"
,"TRAF3","ALAS1","GAMT","CHEK1","SLC7A6","MXRA7","BIN1","EIF4A1","KIAA1279","CAMKK1","ADRA1B","ZNF354A","RMND5B",,,"AIM1","FANCF","PTPRO",,"JPH1","ZNF549","TMSB4Y","CS","RAB7L1","VASP","B3GNT3","CCR3","P2RX2","MT4","CBX8","PTS","SERPINA4","C19orf20","BICC1","DNAJB2","EGLN3",,"AMD1","TNFRSF9","ITIH4","AGFG1","SKAP1",,,"TM7SF4","DUSP1","SPRED1","KLK14","IL8","PTHLH",,"SPP1",,"SPP1","PTGS2","MKRN3","LOC401034","RGS4","PTGS2","MYRIP","WNT5A"
,"ELANE","SLC9A6","LOXL1","KBTBD7","C4orf52","CYP4A11","ETS2","SCHIP1","ANLN","LRG1","ANKRD33","ZZZ3","NKG7",,,"CTNNBIP1","PLAU","INSM1",,"FANCA","MTERFD1","GPR55","MIDN","RAB4A","ARL4C","GATA2","EDN1","SERPINB7","PCTP","ETV4","PCCA","DEM1","SLC22A13","TGFBR3","EFNB2","PCMTD2",,"HSD17B14","STX11","USP2","SLC30A1","KDM6B",,,"GALNT4","ZCCHC14","UBE2W","GIP","RGS17","PTK6",,"TFPI",,"TFPI","ID2","TMEM176A","GAD1","PRG3","ID2","VEGFC","TMOD1"
,"NBL1","ARAP2","TCEA2","FNBP4","PLEKHA7","ASMT","RGR","SREK1IP1","UBE2C","RUNDC3A","ASB11","TDP2","AKAP5",,,"MBOAT7","SLC5A2","KRT85",,"HOXA9","HDLBP","CDRT15","NT5DC1","SYT17","ELL2","ANGPTL4","HBA2","LXN","KIAA0895","PAQR6","ITK","RRP7B","C10orf54","IRS2","ERCC2","C14orf37",,"SHROOM2","JUNB","PUS7L","TAF12","DGCR11",,,"RAB12","CDKN1C","KIAA1841","GPR68","HS3ST3A1","LPXN",,"OR2B6",,"OR2B6","SHOX","CCL22","WIF1",,"SHOX","NXPH3","COL6A1"
,"SOCS2","GK3P","AKR1C2","RRM1","NKX2-2","DLX5","D4S234E","PDE4DIP","YEATS4","SPEER4F","MINA","CR2","NINJ1",,,"DLEC1","ALOX12","LCAT",,"APOLD1","ENDOU","SCARF2","ZNF385A","MICAL3","ANGPTL4","ACYP1","DEC1","GSG1","PIR","PDE6A","PHACTR2","KIR2DS1","GPT","RAMP2","ZNF286A","COL4A2",,"CCL4","RPA4","FUZ","AREG","RCOR1",,,"PPCS","ANP32A-IT1","SAMD8","CA5A","PLAU","ADAM8",,"PTX3",,"PTX3","ATG10","ADAMDEC1","CPEB3",,"ATG10","PPYR1","CTH"
,"PIP4K2A","RAB27A","UROS","CD55","CHEK1","PIP5K1B","SLC12A4","MYO9B","PARP11","LDHC","PRAF2","PSPH","SERPINA3",,,"KIF23","PACS1","SFN",,"TSPAN5","QSOX2","MAPK8IP2","EARS2","TMC6","FLVCR2","GALNT12","SCTR","CLCA1","KIAA0513","SLC6A15","VARS","ALG1L2","P4HA2","GADD45B","GABRR2","FARP1",,"PTPN7","ASCL3","TF","ATXN7","SMAD6",,,"P2RY14","WDR19","LOC644250","FAM174B","GREM1","CHD9",,"CEACAM1",,"CEACAM1","ZNF639","NPPB","CP",,"ZNF639",,"KCTD12"
,"UCK2","FGFR3","RPRM","PPP1CB","MAP3K7","PTPRD","HOXB13","RFK","PPP5C","ERO1L","FAM131A","LGALS8","CIC",,,"NQO2","APBA1","GJD2",,"SLC6A2","ITPR1","NEU1","TNIK","GCNT1","IL4R","FAM59A","ABCB4","CBX8","MTMR10","KCNJ15","ADARB1","COPZ2","ACSS1","PLA2G12B","ZNF865","HEXA",,"ZNF215","RNF20","KLK11","NMBR","PPARD",,,"SGK1","LOC440309","N4BP2L2-IT1",,"ANPEP","MCAT",,"LOC339524",,"LOC339524","SH2D2A","TERT","KCNJ8",,"SH2D2A",,"CEACAM21"
,"EIF2C2","TMEM45A","FAM174B","MAPK14","P2RY2","TNFAIP2","SHC3","INHBA","HERC4","P2RX5","ISYNA1","SKIV2L2","EVX1",,,"TNFSF4","TRIM9","AP1B1",,"KIAA1804","SIX3","ASPSCR1","HSPBP1","LONP2","PTK7","CREB3L2","PAX5","ZP4","TTLL7","NKX6-1","SLC43A1","CST2","CPPED1","BGN","F13A1","H19",,"ZNF343","FZD5","BCL6","MPI","WNT7A",,,"ZRSR1","RHOB","HIST1H3A",,"LOC81691","SNX10",,"PRG3",,"PRG3","ATXN3L","CTNNA2",,,,,"NRIP1"
,"ARHGAP39","C11orf75","CAMK2N1","OVGP1","PSMC3IP","ITPKA","MGAT5","ZNF697","EZH2","IFIT3","SLC22A7","BCAS2","ABCA4",,,"NRXN3","ALLC","PRL",,"TP53I13","GP2","C7orf10","ATP5A1","FBXL18","CDC42BPB","MALT1","IKZF2","ELTD1","B4GALNT1","CD70","DOK2","EIF3FP2","SLC24A6","CITED2","HIVEP3","IMPAD1",,"SPRY2","PYCRL","MUC1",,"RGS12",,,"IL10RA","TLR10","DPY19L4",,"CCDC85B","RLN2",,,,"STX1A","RDH5",,,,,,"EGR2"
,"SLBP","TAF1A","CDS2","NR0B1","LRRC23","BAP1","DCAF7","TIMM23","UTP18","TFRC","FTMT","PAPOLA","ABHD3",,,"DDX6","TK1","FABP5",,"C9orf125","PUS3","SULT4A1","TRMT61A","BTG1","SAMD4A","NDC80","SDCCAG8","KIF1B","KLF13","TRPC6","ASPHD1","TYRO3","IRX2","ENPP5","ZG16","APOC2",,"PYCRL","PRKCD","COL15A1",,"MTRF1",,,"RNF149","SNORA68","ZNF117",,"TMEM160","ENDOD1",,,,"CXCR4","ALPP",,,,,,"ARG2"
,"DBF4","HSPA2","NME4","CDC23","TRIP13","PDE5A","MAT1A","GAL","NUDCD1","MPZL2","BLK","HSD17B4","EPHX1",,,"SLC9A2","NEO1","KRTAP8-1",,"LOC646762","DPYSL5","RFXANK","APOBEC3C","SEC23A","PEG10","FBXO3","YBX2","IFI6","KIAA1644","SLC6A9","TSNAXIP1","ADAM19","GPRIN1","TNNT1","GDPD3","LIMD2",,"SPOCK1","ANXA2P1","OPRL1",,"SHCBP1L",,,"KCNJ2","BMF","CPEB2",,"ATP9A","C3orf52",,,,"GPR37","KRT33B",,,,,,"LTBP2"
,"DLGAP5","MMP10","TSPAN1","SHE","ELAVL2","PRG2","MKI67","TCEB3","SNRPA1","PDZD11","VIP","ZNF268","PTGFR",,,"GALR2","GINS3","BCL7C",,"LOC92659","WDR43","PIK3R5","HSP90B1","CSGALNACT1","SLC7A11","SYNE2","SIM2","ZNF91","NR3C2","CALML4","FGF1","BFSP1","NECAB3","TNFRSF12A","TMEM158","PARM1",,"CPA4","GABRB3","MPZ",,"PMEPA1",,,"CD80","ACSL6","LIMK1",,"AURKB","SLC35A2",,,,"LOC650293","AKAP12",,,,,,"CYBRD1"
,"KPNA1","TNNT1","SLC6A6","MCM5","GART","NDST2","EGR1","RRP9","KATNAL1","GAK","CMBL","MAP2K4","HSD17B8",,,"ASB4","PCDH1","DPYSL4",,"PLSCR4","C21orf56","TMEM106C","TMEM9","P2RX4","TNFAIP8","IMPA2","THNSL2","MTSS1","KCNJ10","C2orf27A","GTF2E2","CD70","TFF3","COL4A1","AIRE","H1F0",,"DHRS3","TM4SF1","P2RY14",,"DPY19L1",,,"LOC284120","KCNJ2","TRIB1",,"CXCL5","ACYP1",,,,"TAAR5","LYL1",,,,,,"MPP6"
,"KANK3","RGS16","MXRA7","MTA1","SFRP1","PTH2R","FCGBP","IRAK1","ZNF367","INSIG2","SMTNL1","NAT1","ETV2",,,"PMEL","NCAPG","CKMT2",,"LRP4","DPP7","LPO","PIGS","PHACTR2","APOD","SAT1","GNL3LP1","SUV420H1","OSGIN1","PKD2L1","VPS54","FGD1","PDGFRB","GKN1","MAST3","LPIN2",,"AK4P3","PMM2","PYGM",,"PMP22",,,"ATG14","SLC38A6","ARRDC3",,"PLCH2","STEAP1B",,,,"ZEB1","PLAC4",,,,,,"NES"
,"CDV3","PHLDA1","CHST11","NCAM2","STRN3","TRIM38","TFPI2","AMD1","CDC7","PDK1","TMEM40","STK38L","MMP2",,,"HSD17B3","STRA6","FOXK1",,"HSPA2","DLL3","LOC283194","SAT2","GLTP","PRKCH","SKAP2","COL13A1","CTSO","JUP","STAT5A","TRPM6","MX1","SLC18A1","CDC42EP1","MARCH9","RASAL2",,"IL5","OR10J1","GIPR",,"RNF19B",,,"PSD3","BTBD7","LPAR6",,"MTAP","NFYA",,,,"GPR124","PPP1R14D",,,,,,"GNAL"
,"DNAJC21","ICAM1","APOBEC3B","OBFC2A","SLC12A1","CLCC1","DEFB1","NRBF2","DTYMK","BPGM","FDFT1","HSPA13","ID2",,,"PPM1H","GTF3C5","PPT1",,"RYR1","NOL6","LOC127841","MT2A","NUDT4","UPK1A","GRB10","HIST1H3J","FAM129A","FOLR3","FMNL1","MAST2","VPS39","TLE6","SOAT2","BMP10","IGF2BP2",,"UTP3","TEX13A","HEG1",,"PDGFB",,,"C5orf41","LPAR6","NAMPT",,"CAT","FKBP1B",,,,"MMP9","DYNC1I1",,,,,,"EMR2"
,"FANCM","AOX1","APH1B","MLLT10","NAA30","NINJ1","SLC6A9","TMEM93","ST3GAL4","PON2","KRBA1","MAPK6","LMOD1",,,"RBFA","PIN1","CYP2S1",,"EGLN1","UBE2CBP","CD70","HSPA9","SORD","AGAP1","SMAGP","FAM153A","CCL16","NR4A2","TMEM187","GH1","CABIN1","MOCS1","ZFPM1","CRAT","TNNC1",,"KIAA1539","PLEC","SLCO1A2",,"CSF1R",,,"LCOR","HIST1H2AE","NLRC4",,"SMARCD3","SCO2",,,,"CPA2","SIGLEC15",,,,,,"SCN5A"
,"ARHGAP8","SCCPDH","GBF1","C7orf70","DIDO1","SEPT11","HSPA1B","SLC37A4","NETO2","CCNG2","PLAT","ANAPC13","FKBP6",,,"C3AR1","GZMK","KCND3",,"RTN4RL1","IMP5","GPR15","TAF1D","DPYSL2","RFTN1","DBNDD2","CCL8","ZNF177","ABLIM3","GUCY1A3","OPRL1","COPG2","CACNB3","GSN","MDFI","UNC5B",,"PAX1","CXCL3","TAS2R16",,"IGLV2-14",,,"FAM13A","LRRC37A2","NECAP1",,"EHBP1L1","PHF10",,,,"IL36A","LY96",,,,,,"HEY2"
,"PTPN21","HOMER1","SDCBP","CR2","ZNF638","ITGA5","CYP2A7","DOT1L","CDK1","BID","ALPK2","KIAA1033","SUPT6H",,,"KCNB1","PLCB3","PMF1",,"ATAD2","LOC653605","FAM123B","DPAGT1","UROS","TGFB1I1","LOC653127","RFPL2","CDRT4","TUB","GIMAP4","MARS","ADARB2","C4BPA","HLA-DRB1","EGLN3","NDRG1",,"FAM3C","GABARAPL3","TRMU",,"NCOR2",,,"MTMR9","NINJ2","RAB12",,"BORA","TEX2",,,,"ETV2","KCNAB3",,,,,,"KRT76"
,"CHEK1","NT5C2","SLC9A3R2","TMPRSS2","METAP1","NUCB1","COL4A2","SHB","TSPAN13","UBE2C","MBL1P","CDC27","PAX1",,,"TMEM156","MAGEC3","EYA2",,"ESX1","C20orf27","ATP8A2","NME1","PPFIA3","CUEDC1","ERAP1","C22orf46","SLC5A5","HYAL3","UPK3B","GK","LOC79999","TEX101","PCDH1","ZDHHC6","CUBN",,"C9","TRMU","ABCA6",,"LIPG",,,"GCNT2","SNX16","NCF2",,"BCL3","GINS1",,,,"ANKRD34C","ETV4",,,,,,"PRKAA2"
,"SPEF1","PMAIP1","PACSIN3","CLCN6","FMR1NB","FRAT2","MYT1","PRKRIR","WSB2","GTF2IRD1","CDKN2B","RRS1","AKAP3",,,"CTRL","GDF10","INHBB",,"RASD1","OR10H1","C10orf92","PDE4DIP","HRAS","KAL1","ZNF331","MMP25","RASL12","SMPDL3A","PTGIR","OBFC1","LIMD1","TYMP","TUFT1","HES6","POSTN",,"OR7C1","CLDN5","CT62",,"IL19",,,"ZEB2","MYEF2","STX6",,"PLIN3","CREM",,,,"IDI2-AS1","SPANXC",,,,,,"RPP25"
,"FEN1","CBLB","PRPS1","ABCB10","HIGD1A","FKBP1A","HBA2","ACTR3","CDH2","DLG4","AP2B1","CD2AP","TUB",,,"TNFRSF13B","KIR2DS1","MKLN1",,"DDX11L2","ABCC6P2","ESR2","MAEA","RAB27A","MYO5A","SCG2","PAX6","CORO2B","BHMT2","PSMB8","GLRX2","CLEC7A","ZIC2","AMOT","IGSF8","EVX1",,"NR2F2","REST","ANKRD7",,"ELL2",,,"ZCCHC14","OLIG1","C20orf194",,"TRPC1","INPP5F",,,,"ST18","IL1B",,,,,,"NMNAT2"
,"INO80C","KLF4","NDRG1","CNOT2","MUC1","ETV2","GLB1","PNP","C15orf63","RHOV","SCGB3A2","SUCLA2","ARC",,,"ITGA6","GALR2","KRT27",,"DHRS13","LELP1","LAMC3","HDLBP","SERHL2","C11orf95","NTAN1","LPAR3","TSPAN13","ACCN1","CFB","FAH","KREMEN2","GRINA","SHROOM3","ECE1","SIL1",,"NOP2","LMO3","ANXA2P1",,"DIEXF",,,"SIGLEC9","CRK","NKIRAS1",,"JAK2","RAB21",,,,"KCNJ8","NGF",,,,,,"ROR2"
,"UBN1","KIAA0247","HEY1","BCKDHA","NR5A2","PET112","HAGH","MRPS35","C12orf24","PREP","LSS","MBTPS2","CCL7",,,"FAM107A","RNF2","CFC1",,"ANKRD43","MTFP1","NAALADL1","DIP2B","PDE8A","EFHD2","CLMN","ZBTB10","CLGN","ALDH1A2","ECM2","SLC25A32","INSL3","ENPP5","MYO7A","ACSS1","VAMP8",,"CCNE1","AK4P3","DLX6",,"CDKN2B",,,"SIPA1L2","MPPED2","KBTBD8",,"FAM173A","SNCA",,,,"PRL","PRG3",,,,,,"TH"
,"PIM1","MAP2K4","BMPR1B","PHTF2","CREM","NRL","GGT5","USP36","PBK","PTPRJ","TMPRSS4","COL8A1","DTX4",,,"FAT4","FOXL2","CCRL1",,"TLCD1","TMEM132B","PPP1R3B","MAGOH","AQP3","CRAT","PTMS","ADAP2","PDZRN4","NPC1L1","ST18","GCH1","CETN1","EVPL","SGCE","GPA33","TMEM98",,"SLAMF7","ABTB2","ELOVL4",,"ZFP36L1",,,"DOLK","CALHM2","BCL6",,"GLS2","PLEKHF2",,,,"ACOX2","TMEM176B",,,,,,"IGFBP6"
,"KIFC1","ARID5B","CSTA","ATL2","ZMYM6","CTSF","NEK3","VGLL4","DCBLD1","IL1F10","RGS11","MTM1","ME3",,,"CDKN3","FAM102A","HTRA3",,"CDK19","LAS1L","RAB3A","DDX23","PBK","PARM1","HSPA2","ZNF184","KLK6","UCP1","GRP","HYAL3","BCAS4","CHRNB1","MYO5B","OPRD1","TNNT2",,"NUDT13","GFAP","OLFM1",,"ABCG1",,,"PHLDA1","FGL2","FAM20C",,"PELI1","RNF38",,,,"MMP10","MB",,,,,,"GATA3"
,"PHF12","ENPP1","GDPD3","AZIN1","PTPRC","FZD9","RABEPK",,"GTF3C6","TPD52L3","NIPSNAP3A","TGFBR3","NEDD9",,,"PCDHA9","CARD9","NLRX1",,"C11orf75","IPO4","PACSIN3","C11orf71","KLHDC2","L1CAM","FAM13A","TYR","SERINC5","NOVA1","CXCR3","SLC6A6","EPHB6","DBNDD2","TDRD7","LIMD2","MYLIP",,"CCDC85B","EHD2","GABRB3",,"ANKLE2",,,"TMEM159","RCBTB2","VSIG4",,"SCAND1","HBEGF",,,,"AURKC","L1TD1",,,,,,"IL11"
,"PLK4","ITGA2","CREB3L2","UPF3B","CUL4A","PDE4A","CHGA",,"PSMC3","PTRH1","GSS","PLA2G4A","CSHL1",,,"SLCO1B1","CNTN5","RPAP3",,"CHST2","PPRC1","ACAP1","MRPL15","FAM46C","NUMB","SDCBP","LRRC31","BACH1","SLC19A2","BTN3A2","VPS33B","ZNF157","DRAM2","RGNEF","RUNX1","IER5",,"SMEK2","PUS7","LOC440334",,"FERMT2",,,"PPP1R15A","PLCXD2","LMBRD2",,"SMARCA1","C3orf14",,,,"VEGFC","DCAF13",,,,,,"ADAMTS8"
,"MSH3","SLC12A2","ANKMY2","LOXL2","THOP1","CTBP2","CPT2",,"KISS1","ACOT9","SLC41A3","MARCH7","ABCB10",,,"CHCHD7","LILRA5","PKIB",,"MBOAT1","SLMO1","UBIAD1","CRABP1","HMGCS1","EHBP1L1","ME2","KLHL1","CIDEA","MEGF9","EIF2C4","PLS1","ATF6","ECE2","COL2A1","AGER","ZFPM1",,"CALML5","PTH1R","DYRK1B",,"PLEKHA1",,,"MYOZ2","FGR","KIAA0895",,"RPS6KA5","CRIP2",,,,"TGM2","MGC4771",,,,,,"CXCR2"
,"CDR2L","ARFGAP3","SAT1","OXNAD1","SPATA5","CLK1","TSC2",,"CIAPIN1","C9orf89","CD300LD","UPF2","C17orf108",,,"INSL6","CBX5","SLN",,"LOC645030","ISOC2","APBA1","TBC1D15","DSC2","TP53I11","DHTKD1","HCAR3","SEMA6D","WDR37","NEIL1","BNIP3","DCXR","IL15","KRT19","PARP6","MACROD1",,"TNFAIP8","SPATA2L","KRT24",,"CYP24A1",,,"C5orf20","SYNJ2BP","MAP4K3",,"MUM1","TNFAIP2",,,,"TNFSF15","ZNRF4",,,,,,"TMEM158"
,"CCRN4L","NFKB2","MVD","KIF1B","KIF2C","PAQR4","RASGRF1",,"CKAP2","ASB11","CCDC86","PCDHA12","IQCK",,,"LRRTM2","COL2A1","CCR3",,"SHISA8","ESF1","IGFALS","PLSCR1","CEP76","NEDD9","SLC2A6","IL5","REV3L","COLEC10","TET3","SSTR2","HHLA1","NHSL1","FOXQ1","ARHGEF3","FRAT2",,"NOX4","FOSL2","EVX1",,"CHST3",,,"UBE2W","SERAC1","TGIF1",,"CRYZ","ATP10D",,,,"CSN2","FBXO4",,,,,,"FNBP1"
,"NOP56","JUNB","PTGER4","FCGRT","ARIH1","L1CAM","THBD",,"MET","HN1","STMN1","RNF13","LONP2",,,"NLGN1","SERPINB2","TEF",,"CDK5R1","HSPE1","TCEAL3","CEP41","PJA2","ERO1L","NPC2","TRPC6","CDKN1C","VSNL1","ALDH1A2","CUTC","EYA2","FOSL1","GNG12","ARAP1","TSPAN7",,"HRH3","HOXA11","CD6",,"JAM2",,,"TPSAB1","HIST1H3H","SCG2",,"CTNNBL1","EMP3",,,,"TAGLN3","RBM",,,,,,"CHGB"
,"PAIP2B","CADPS2","GNAI2","RETN","XPO1","ACOX3","BMP1",,"SSTR1","MMP15",,"AGA","PLTP",,,"FOXH1","ANKRD34C","OLR1",,"TLE2","NIP7","LYVE1","NFX1","NOVA1","ADM","SCARA3","DUSP2","NKIRAS2","ANGPTL2","SERGEF","SLC4A1AP","IRX4","ZBTB7C","SERPINE2",,"SLC27A3",,"KIF1C","KLF6","SMPX",,"FOXF2",,,"UPP1","CTSK","C7orf74",,"SMTN","CD83",,,,"PNMA2","GPR124",,,,,,"PRPH"
,"UPK2","TMEM121","NOTCH3","FTSJ3","TNFSF10","ST8SIA3","PTPN21",,"PSMD14","FDFT1",,"BACH1","GABRA5",,,"DYSF","PNLIP","SYT9",,"RHOBTB2","NR2C2AP","LOC100289650","NDUFB5","NUCB2","ULBP2","PSMB10","KLHL28","OSGIN1","TMEM100","POU2F1","TMEM135","CREB5","NME3","PDIA5",,"LGMN",,"TPST2","NR2F2","C1orf159",,"OVOL2",,,"ACP5","AMN1","ZNF222",,"MPI","CCNJL",,,,"GFI1","PPP1R15A",,,,,,"MLN"
,"TPM2","DBNDD2","BNIP3L","C9orf69","MIS18BP1","VGF","CETP",,,,,"DNAJC3","IFT140",,,"TBC1D19","NEDD9","KLRD1",,"SIX5","AMPD2","APC2","SELENBP1","NUMB","GUCY1B3","CRIM1","CCBP2","GPC5","KCNA1","ZRSR1","STX4","CYP3A43","BNIPL","GGTA1P",,"PRSS12",,"ZBBX","SLC2A3","FAM107A",,"CYP2J2",,,"LACC1","RIT1","SNX16",,"BCL2L1","MKL2",,,,"FEZF2","TNNT2",,,,,,"TNFRSF1B"
,"DMBT1","SPTLC2","METRN","FNTB","HNRNPU-AS1","PPP3CA","RXRB",,,,,"PPIG","CD79A",,,"EFNB2","DNASE2B","GNMT",,"TMEM201","TRNAU1AP","CHCHD10","SLC35A4","GNA14","ST3GAL4","MTMR2","TRABD","CDHR2","POPDC3","OTUB2","YRDC","HOXC5","TXNDC16","VAMP8",,"PLXNB2",,"GPT","OR7E47P","GDF9",,"FAM91A2",,,"OSTM1","VSIG4","SLC38A6",,"BEX4","AVL9",,,,"PRDM14","PIWIL1",,,,,,"BMP7"
,"LARP4B","RPS6KA3","ATXN1",,"C8orf85","ARHGEF15","GADD45A",,,,,"TSPAN8","DENND3",,,"OR2B6","NFKBIB","CCDC86",,"TAS2R38","CCDC124","HMX1","ALAS1","MYO5A","FHL1","CEP70","PTGDS","KCNQ2","POMT2","PPYR1","SYNPO","ANKRD1","NR1H3","CLDN7",,"LMBRD1",,"ZNF614","PRSS50","ST8SIA3",,"FGF1",,,"NEAT1","OR52K3P","ACSM3",,"QPRT","TP73-AS1",,,,"PTGS2","TIGD6",,,,,,"CHST10"
,"SMAD1","S100P","MPI",,"KRTAP6-3","RAD9A","ARCN1",,,,,"SLC38A6","DYRK1B",,,"UGT2A1","GUCA1A","IGF2",,"SNRNP25","CAPS","AADAC","COG6","B4GALT5","MXRA7","DHRS7","HIC2","ENPP2","ZNF324","UCP1","IDH3A","PQLC3","EPHB3","SEPN1",,"PURG",,"INHBB","TNFRSF1B","CLDN7",,"TNS4",,,"JAKMIP2","NAMPT","BMF",,"STK4","DERA",,,,"IL1R2","PRRX1",,,,,,"FNDC4"
,"MCM4","SNAPC1","AQP3",,"SARDH","HPGD","ITGB1BP1",,,,,"ADAM9","HDAC5",,,"B3GNT3","BRAP","HYOU1",,"LOC283454","REPIN1","RARRES3","COL6A3","NUP43","NME4","SOCS2","HYAL3","ACAP1","ANKH","HIGD1B","PHGDH","CCDC87","CORO2A","SNAI1",,"PRKACB",,"PLXNA3","SPRY2","TBC1D19",,"MPZL2",,,"STX6","TBC1D8","FOXQ1",,"CORO1A","NFKBIE",,,,"KCNAB3","COL9A3",,,,,,"TCHH"
,"WRN","ETHE1","EPB41L4A",,"HSPB2","USP9Y","CHRNA5",,,,,"HNRNPA3","CACNB1",,,"RSAD2","PRMT8","HOXD10",,"LOC283658","EXOSC9","LEKR1","NLRP1","CD302","SPTLC2","ACSL1","FAM86C1","GSTA3","PTPRB","ZNF324","ITPR1","PNMT","ADCYAP1R1","BMP2",,"TRAPPC6A",,"PDE4A","USP36","NMBR",,"COL16A1",,,"TGIF1","GK3P","JUNB",,"INPP5F","DAB2",,,,"ZNF529","FBP1",,,,,,"TULP2"
,"MAPK14","IMPA1","KCNMA1",,"DDX3X","HCRTR2","SERPINB10",,,,,"TAF9","PHLDA1",,,"IL20RA","GRAP","GHRH",,"KLF16","PUS7L","CALML5","SSR3","EPB41L1","SPAG1","HSD17B11","C7orf63","FLJ11827","CDH13","OSTM1","PJA1","TCEB3B","SCNN1A","WLS",,"SATB1",,"ETV4","FOXP3","METTL19",,"WNT16",,,"IL10","AFF4","SYNJ1",,"GLMN","C9orf3",,,,"DLGAP2","SCGB1D1",,,,,,"WWC2"
,"CAD","LPP","PGPEP1",,"GALNT3","DKFZP586I1420","UBXN1",,,,,"CCL22","GLI1",,,"SPDEF","LTB","RETNLB",,"SH3BGR","MON1A","TAF3","FBXO42","ASRGL1","PPP1R13B","ABHD6","CDK17","USP46","ART3","ZNF177","OPCML","MIR600HG","PDPN","CIDEB",,"PRG1",,"ANKRD36BP2","KLRK1","AMN",,"ID3",,,"EMR2","LGALS1","CC2D1B",,"OBFC1","BBS1",,,,"HBEGF","KCNK7",,,,,,"MYL9"
,"DDB1","PIGA","CAPN2",,"COIL","CYP11B1","NDUFB7",,,,,"SGMS1","RBMX2",,,"BCL7C","TSSK2",,,"KCNA6","HSAJ2425","LCE3D","ELN","TIMM13","GAL","CAST","DENND5B","CNGA1","SLC2A3","CYP4F12","CDRT1","TNNT2","HPGDS","FGF5",,"NARF",,"KCNJ9","CD52","RPP25",,"RGS11",,,"PTBP2","AMMECR1","ADAMDEC1",,"HSPA2","GPHN",,,,"DNMBP","IL36A",,,,,,"TCEA2"
